_sum/EssSoc;_sum/EssActivePower;_sum/ProductionActivePower;_sum/ConsumptionActivePower;_sum/GridActivePower
99,96551724;9,310344828;803,7586207;182,2068966;-630,8965517
100;0;773,0333333;245,8333333;-527,2
100;0;731,2666667;204,0666667;-532,2
100;0;685,1;136,3;-548,8
100;0;635,3333333;164,4;-470,9333333
100;0;572,7;172,3333333;-400,3666667
100;0;506;172,7666667;-333,2333333
100;0;276,5;41,16666667;-235,3333333
100;0;0;0;-136,2
100;0;0;0;-142,7666667
100;0;0;0;-163,4666667
100;0;0;0;-121,3666667
100;0;0;0;-85,76666667
100;7,033333333;0;0;-81,13333333
99,8;26,43333333;0;0;-30,73333333
99,66666667;66,13333333;0;32,36666667;-33,76666667
100;63,46666667;0;12,86666667;-50,6
100;47,23333333;0;0;-76,06666667
100;72,8;0;43,56666667;-29,23333333
98;129,0333333;0;123;-6,033333333
95,76666667;3710,066667;0;3885,933333;175,8666667
92,83333333;2269,1;0;2421,066667;151,9666667
90,76666667;1736,9;0;1819,9;83
89,66666667;796,1;0;853,0666667;56,96666667
89;383,7333333;0;366,8666667;-16,86666667
88,96666667;375,3333333;0;355,6666667;-19,66666667
88;339,9666667;0;328,9;-11,06666667
88;478,2666667;0;461,7666667;-16,5
86,96666667;1471,266667;0;1472,8;1,533333333
86;365,4;0;360,3333333;-5,066666667
85,66666667;468,5;0;446,0666667;-22,43333333
85;340;0;323,3666667;-16,63333333
85;357,7;0;341,4666667;-16,23333333
84,23333333;342,2333333;0;325,1333333;-17,1
84;419,3666667;0;421,7666667;2,4
83,53333333;433,5;0;422,7333333;-10,76666667
83;484,8333333;0;529,9333333;45,1
82,56666667;407,0333333;0;336,8333333;-70,2
82;315,1333333;0;293,5333333;-21,6
82;280,3333333;0;259,7;-20,63333333
81,43333333;254,6333333;0;268,2666667;13,63333333
81;357,9;0;338,6666667;-19,23333333
81;337,5333333;0;321,3333333;-16,2
80,16666667;191,3;0;172,0333333;-19,26666667
80;181,3666667;0;168;-13,36666667
80;182,5;0;165,5333333;-16,96666667
80;184,1666667;0;165,4;-18,76666667
79,2;197,7666667;0;193,8333333;-3,933333333
79;289,4666667;0;270,9666667;-18,5
79;272,3;0;252,5;-19,8
78,46666667;186,2333333;0;166,6;-19,63333333
78;185,2333333;0;175;-10,23333333
78;189,9333333;0;178,1666667;-11,76666667
78;202,3;0;192,0333333;-10,26666667
77,33333333;240,3;0;229,2333333;-11,06666667
77;299,9333333;0;285,1;-14,83333333
77;261,1666667;0;239,4333333;-21,73333333
76,5;184,1666667;0;164,2;-19,96666667
76;185;0;164,9666667;-20,03333333
76;183,6666667;0;163,5666667;-20,1
76;176,9666667;0;161,9666667;-15
75,56666667;221,2333333;0;209,8666667;-11,36666667
75;287,4;0;267,1666667;-20,23333333
75;236,7;0;218,6;-18,1
74,93333333;171,0666667;0;160,1666667;-10,9
74;174,4333333;0;164,4333333;-10
74;180,4333333;0;170,2;-10,23333333
74;194,3;0;183,8666667;-10,43333333
73,76666667;256,5;0;246,6;-9,9
73;313,5;0;293,3333333;-20,16666667
73;272,375;0;247,75;-24,625
